name,age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills
tatazin,28,46.20%,1.08,0.65,10,10120,87,705,2117
Maikelele,31,37.00%,1.05,0.67,14,7782,6195,736,3623
Lekr0,29,51.50%,1.03,0.69,22,16608,1422,904,4797
mitch,25,44.40%,1.05,0.68,4,9347,1218,841,2541
clax,20,54.80%,1.04,0.68,9,5231,123,383,1208
EasTor,28,28.30%,1.04,0.68,14,1874,5193,474,1390
jedqr,23,53.40%,1.04,0.69,15,11629,173,772,2397
JDC,22,51.20%,1.02,0.69,11,7061,335,207,1740
1962,26,53.70%,1,0.71,13,8025,125,541,1883
Kylar,22,59.00%,1.03,0.68,17,8040,270,487,1954
Noobster,25,34.50%,1.02,0.68,15,2520,4060,390,1650
Viva,22,46.00%,1.05,0.67,19,5060,2964,561,1922
byali,28,51.60%,1.04,0.7,26,26889,165,1236,5877
obj,26,31.60%,1.06,0.67,5,2306,3391,256,1272
spyleadeR,32,42.30%,1.01,0.73,12,12202,168,1356,2848
kreaz,24,46.90%,1.05,0.68,12,9286,699,999,2238
stadodo,25,40.30%,1.05,0.67,14,5770,4686,840,2372
mirbit,25,44.00%,1.06,0.66,19,11159,602,1002,2354
J0LZ,22,49.30%,1.02,0.71,5,5234,160,527,1185
Friis,33,26.30%,1.05,0.67,8,3259,9150,659,3027
grux,22,67.10%,1.03,0.7,8,6985,141,339,1592
dazzLe,26,42.00%,1,0.71,15,9181,264,1124,2054
ayaya,23,40.30%,1.01,0.71,9,5189,1087,533,1437
ap0c,34,50.90%,1.01,0.7,20,11712,578,1109,2834
reatz,27,51.50%,1.03,0.69,31,21543,142,1295,4887
siuhy,19,53.00%,1.01,0.7,16,7548,104,392,1613
Stewie2K,24,49.40%,1.01,0.7,24,16840,3643,1891,4802
kalinka,28,52.80%,1.01,0.7,17,10221,2073,816,2795
Jinxx,25,52.70%,1.04,0.67,8,5151,25,343,1454
to1nou,27,30.50%,1.04,0.68,15,3874,7273,641,3230
DickStacy,25,48.90%,1.03,0.67,9,7484,49,931,1899
jR,28,34.00%,1.04,0.68,14,3890,8352,815,2845
DESPE,29,29.80%,1.04,0.67,14,1996,3956,496,1549
kioShiMa,28,51.30%,1.05,0.67,27,18894,728,956,4936
speed4k,26,39.20%,1.04,0.66,19,4808,5901,655,2197
FugLy,27,43.40%,1.03,0.67,24,13588,345,1334,3423
emagine,31,45.90%,1.04,0.68,8,9356,107,1035,2079
Nifty,24,36.30%,1.02,0.68,18,4529,7276,684,2673
Polt,28,49.10%,1.05,0.69,9,7151,196,611,1360
arT,26,34.80%,1,0.71,23,8744,5652,1303,2440
MINISE,28,39.70%,1.02,0.69,32,12491,14033,1414,6010
waterfaLLZ,27,27.10%,1.02,0.69,16,4556,8300,464,2883
Cabbi,24,55.60%,0.99,0.7,11,7153,136,268,1313
pounh,25,49.50%,1.01,0.69,6,5280,163,562,1227
Zero,23,49.10%,1.04,0.67,19,15157,102,566,3129
zqkS,30,28.90%,1.05,0.66,11,2972,7363,575,2187
innocent,28,45.90%,1.02,0.69,25,24182,774,1270,5790
Relyks,27,48.80%,1.01,0.69,24,7762,2250,1396,2945
fenvicious,27,52.70%,1.01,0.69,14,9374,474,1024,2261
glace,28,52.20%,1.04,0.68,4,8082,62,369,1733
Oderus,23,34.30%,0.99,0.71,9,2379,4372,365,1578
1uke,29,26.40%,1.02,0.68,11,1576,7031,601,1708
leo_drk,22,51.60%,1,0.69,14,7972,166,554,1700
Edward,34,51.10%,1.03,0.69,18,19786,627,1557,4391
Tsogoo,28,52.80%,1.01,0.7,8,6618,61,387,1602
hazed,33,49.80%,0.99,0.69,22,9603,434,522,2405
xiaosaGe,32,47.70%,1,0.7,17,10721,722,1182,2793
SIXER,31,39.10%,1.05,0.66,10,8126,6032,854,3695
kenzor,25,54.80%,1.01,0.69,18,7491,618,509,2103
R0b3n,20,49.80%,1.02,0.68,6,6743,325,602,1624
Lack1,22,45.60%,1,0.68,20,11530,1025,1165,2650
cbbk,28,51.20%,1.02,0.68,8,4976,64,798,1115
dzt,25,46.40%,1.01,0.69,8,8221,843,817,1938
ImpressioN,26,48.90%,1.01,0.69,10,8835,299,640,2226
almazer,23,51.90%,1.02,0.67,24,16381,1575,1128,4185
Djoko,25,61.80%,1,0.68,11,6719,101,427,1753
KILLDREAM,29,44.20%,1,0.7,9,5830,217,308,1409
Basso,23,53.00%,1.03,0.66,16,7285,335,556,1779
RoLEX,21,51.20%,1,0.7,13,6463,180,490,1571
zeff,33,42.00%,1.01,0.69,13,5704,499,687,1350
ALLE,25,49.70%,1.01,0.68,6,5504,354,418,1257
mopoz,25,51.60%,1,0.68,29,14769,532,2188,3151
supra,20,58.00%,1.01,0.66,11,6892,350,607,1502
cromen,27,52.80%,1.01,0.68,16,8101,753,791,1996
SZPERO,31,33.40%,1.02,0.68,24,13721,14286,1747,6492
adreN,32,35.30%,1.03,0.67,10,6304,3011,457,2204
xseveN,27,46.20%,1.02,0.68,27,15494,651,2069,4098
void,21,40.00%,1.02,0.69,4,5845,156,339,1400
pyth,28,56.00%,1,0.69,19,9396,972,486,2615
MODDII,33,52.40%,1.02,0.67,17,15077,356,1300,3507
cam,24,50.80%,1.02,0.68,15,6597,206,723,1685
peet,31,34.00%,1.01,0.68,8,2930,2378,232,1161
nitr0,26,44.40%,1.02,0.67,25,15315,2886,1640,4256
mds,23,53.40%,1.02,0.67,17,14219,386,1537,3355
pecks,25,45.90%,1.03,0.67,4,4512,91,592,1324
STYKO,26,57.50%,1.02,0.67,39,19482,1192,1435,4947
truth,25,51.40%,1.01,0.69,6,6569,416,386,1421
Noktse,29,39.70%,1.02,0.67,9,5726,5066,724,2223
vice,26,49.40%,1.01,0.68,8,6387,88,583,1509
Baaten,23,56.50%,1,0.68,15,9494,144,1141,2353
uli,24,48.80%,1.02,0.68,8,8072,165,456,1673
MUTiRiS,29,50.60%,1.01,0.69,25,17101,113,995,3747
freddieb,28,52.90%,1.01,0.69,27,15233,561,1134,3537
SEMPHIS,33,36.50%,1,0.71,9,6452,4597,799,3415
dephh,30,47.60%,0.98,0.71,20,8804,1444,1339,2456
realz1n,27,49.40%,1.02,0.66,9,7243,153,820,1802
freakazoid,29,46.80%,1,0.69,16,11682,87,1173,2859
Jerry,24,45.70%,1.01,0.68,35,21174,496,2723,4648
magixx,19,57.30%,1.03,0.65,13,8137,352,426,1897
YDNA,23,38.90%,1.01,0.68,2,2527,3134,317,1576
robiin,27,48.00%,1,0.69,30,19884,522,1899,4617
gMd,21,53.50%,0.99,0.69,10,5997,375,398,1551
ALEX,26,47.30%,0.98,0.7,18,15139,620,1637,3789
markeloff,34,41.60%,1.03,0.67,16,13350,1913,724,3380
Puls3,28,43.30%,1.01,0.68,6,5040,795,456,1451
Vegi,22,47.60%,0.99,0.69,22,11595,151,728,2612
neptune,19,55.40%,1,0.69,7,6353,209,717,1660
xelos,29,48.30%,1,0.69,4,5423,226,538,1531
rbz,28,48.90%,1.01,0.67,11,8085,166,895,1966
BENDJI,26,32.50%,1.01,0.69,11,6621,5144,729,3233
dukefissura,26,60.70%,0.98,0.71,8,5458,138,383,1191
reversive,30,43.60%,1.01,0.68,9,7428,556,923,1903
jaxi,28,40.50%,1.02,0.67,2,4508,1494,451,1551
BARBARR,32,42.70%,1,0.68,17,8303,2784,1510,2938
VINI,23,48.60%,1,0.66,17,13254,248,810,2726
Liki,23,43.40%,1.03,0.66,7,4708,240,516,953
morelz,28,46.70%,0.99,0.69,19,14370,521,1144,3680
k1to,23,58.00%,0.99,0.68,29,16115,1385,1033,4327
notaN,22,49.10%,1,0.67,6,5683,136,795,1484
pesadelo,22,44.70%,0.98,0.69,13,8235,267,505,1901
kory,24,54.40%,0.99,0.7,11,6517,435,385,1628
JIaYm,23,52.50%,0.97,0.71,7,7797,93,343,1735
ANGE1,32,51.30%,0.98,0.7,52,23022,702,1724,5467
kaboose,22,54.90%,0.97,0.7,15,7189,271,625,1836
facecrack,28,48.40%,0.98,0.7,30,22076,288,3176,5370
Dimaoneshot,27,52.50%,0.98,0.69,30,18597,225,776,3982
Drone,24,61.80%,0.98,0.69,15,6059,84,346,1573
DemQQ,21,53.20%,1,0.68,7,5104,479,300,1144
rmn,30,54.20%,1,0.68,20,15379,435,878,3245
Dosia,34,48.10%,1.01,0.67,17,17977,646,1717,4404
vanity,23,41.80%,1.01,0.67,9,5631,1891,811,1902
krii,24,49.10%,1,0.67,6,5342,80,314,1274
fitch,30,52.60%,0.98,0.68,12,7718,90,660,1804
DeathZz,26,49.30%,1.01,0.66,12,6986,127,557,1605
gade,27,53.60%,0.99,0.66,22,12899,96,888,2648
djay,29,47.90%,1,0.68,18,10815,260,865,2643
SAGGERTON,26,42.60%,0.98,0.69,12,7165,121,418,1840
larsen,25,30.00%,1.01,0.66,16,2537,5796,328,1785
bubble,30,41.50%,1.01,0.66,42,23031,6762,1758,6438
Lukki,22,51.20%,1,0.67,28,11597,84,903,2814
jabbi,19,59.60%,1,0.67,13,10378,287,708,2304
AZR,29,51.50%,0.99,0.68,15,14216,230,1736,3132
J1rah,22,46.10%,1,0.66,19,9485,1002,786,2026
ryotzz,28,37.20%,0.98,0.68,7,5520,211,686,1368
bodyy,25,56.20%,0.99,0.67,26,17736,578,1285,4032
NEKIZ,26,48.00%,0.99,0.68,24,12889,353,1246,2956
sXe,24,42.90%,0.99,0.67,7,7001,198,901,1878
chop,20,52.50%,0.99,0.67,8,6099,62,464,1344
JACKZ,30,58.30%,0.99,0.67,21,14367,256,1305,3349
DAVEY,26,41.30%,0.98,0.68,23,8903,919,1382,2508
Furlan,27,53.00%,0.98,0.68,36,25905,2937,2130,6304
stellar,26,45.70%,1,0.67,8,5076,353,498,1394
Xizt,31,46.80%,1.02,0.67,22,21772,703,920,4686
Jonji,22,40.70%,0.98,0.7,18,12995,909,1666,3301
RUBINO,28,52.50%,0.99,0.67,27,12187,846,1070,3357
AdreN,32,48.80%,0.99,0.68,26,22645,731,1822,5434
ryann,21,55.10%,0.98,0.68,18,8776,305,830,2126
gla1ve,27,46.50%,1,0.66,22,20712,1079,2320,4670
Zix,23,54.40%,0.98,0.69,5,5327,29,425,1238
Perfecto,22,46.40%,1.04,0.62,13,8644,218,838,1999
isak,20,50.10%,1,0.66,9,7641,280,396,1909
DeadFox,27,38.40%,1,0.66,14,7021,3405,864,2387
wiz,21,28.70%,1.01,0.65,11,2235,4685,217,1434
zende,27,47.70%,1,0.68,7,5497,74,203,1214
Daffu,24,51.30%,1.01,0.66,9,9719,97,671,1989
Spiidi,26,40.50%,1,0.65,29,26981,988,1760,6101
bq,20,53.10%,0.97,0.68,8,5525,235,231,1260
apocdud,23,37.00%,0.99,0.67,12,6377,3366,721,2127
anger,34,50.90%,0.98,0.68,17,9051,37,448,2397
NickelBack,25,39.70%,1,0.66,25,17403,1015,1871,3905
WOOD7,27,30.50%,1.03,0.65,9,3869,2792,1034,1439
doto,26,54.80%,0.98,0.67,14,8061,715,579,2001
tifa,26,45.70%,0.98,0.68,6,5182,73,442,1329
Fadey,24,54.60%,0.96,0.69,13,9887,286,346,2072
Norwi,21,49.00%,1,0.65,10,5492,89,302,1139
Llamas,22,49.30%,1,0.66,16,5916,85,342,1310
kwezz,22,55.40%,0.99,0.65,14,7979,266,684,1886
SHOOWTiME,25,45.10%,0.98,0.68,14,12098,1355,955,2816
syken,26,57.80%,0.97,0.69,3,5299,257,369,1446
ZEDKO,24,52.60%,0.99,0.66,21,14484,822,1060,3747
jnt,28,35.60%,1.01,0.64,4,4871,3246,499,1626
prt,24,53.30%,0.99,0.67,9,8676,590,987,2311
FinigaN,23,50.40%,1.01,0.64,4,6618,272,383,1290
niki1,31,48.80%,0.98,0.67,17,12104,654,1440,3206
BURNRUOk,26,50.70%,0.97,0.69,17,10561,836,947,2763
Radifaction,23,49.90%,0.98,0.67,8,6730,251,496,1611
BIT,32,48.20%,1,0.65,13,8885,354,1034,1938
Boombl4,23,41.60%,0.98,0.67,24,12736,443,2210,3386
Sergiz,21,51.90%,1.01,0.64,6,5962,191,382,1302
PERCY,28,58.50%,0.98,0.67,17,13450,462,928,3241
blocker,25,49.30%,0.97,0.68,16,12157,247,911,2168
leman,25,51.40%,0.99,0.66,12,7212,35,210,1502
Sapec,19,52.60%,0.96,0.68,10,6394,28,345,1340
RUSH,28,47.30%,0.99,0.66,17,18454,148,1128,4376
RpK,32,50.70%,0.98,0.67,18,19005,71,1716,5057
sinnopsyy,27,57.10%,0.96,0.69,15,8775,300,464,2209
SPELLAN,24,39.60%,0.99,0.66,27,14660,3489,2456,3602
Bymas,18,48.60%,1.01,0.63,3,5235,64,158,1059
mono,26,44.60%,1,0.66,13,8223,329,741,2159
Queenix,23,56.40%,0.99,0.64,5,6358,81,433,1317
RuStY,24,53.00%,0.99,0.66,21,16941,323,1431,4136
raalz,27,58.00%,0.98,0.66,24,12794,112,1055,2779
jmqa,25,51.00%,0.98,0.67,17,10481,1414,967,2985
DeStRoYeR,28,42.10%,0.98,0.68,7,5374,2683,637,1925
Keoz,21,54.70%,0.96,0.68,16,10575,985,704,2483
seb,31,45.50%,0.98,0.67,10,7010,86,955,2239
propleh,25,49.10%,0.98,0.66,5,4951,189,496,1241
kUcheR,33,44.00%,0.99,0.67,19,10659,1101,364,2630
stk,25,42.00%,0.98,0.66,9,7220,31,1011,1656
ELUSIVE,29,43.90%,1.01,0.64,6,4707,157,413,1051
oskarish,25,50.30%,0.98,0.65,21,13072,643,984,3428
SOKER,29,42.50%,0.96,0.68,17,7625,985,665,2089
ice,21,58.20%,0.97,0.67,7,5838,203,394,1301
PKL,28,51.80%,0.98,0.66,16,14758,827,1165,2898
DEVIL,27,48.20%,0.97,0.66,8,7264,287,1065,2228
seized,27,45.80%,0.98,0.66,23,18815,1313,1434,4193
MAIROLLS,24,49.10%,0.98,0.67,6,6228,254,512,1409
gabesson,32,42.10%,0.97,0.68,5,4880,1030,288,1628
Mayker,23,49.10%,0.97,0.66,10,5233,395,346,1320
KHRN,32,48.00%,0.98,0.65,8,12016,111,710,2704
Leaf,28,44.20%,0.99,0.65,4,3794,708,833,1216
phr,25,53.30%,0.98,0.65,17,17039,679,1177,3651
reltuC,33,40.50%,1,0.65,12,10174,805,760,2803
chopper,25,57.40%,0.98,0.65,14,13854,178,1583,3172
Drea3er,27,53.80%,0.95,0.67,10,4743,568,534,1305
Hyper,32,41.80%,0.99,0.66,12,7734,640,792,1832
Surreal,26,43.60%,0.97,0.65,27,17259,2721,1319,4470
TMB,20,47.20%,0.96,0.66,15,8927,1016,705,2050
LUCAS1,27,47.00%,0.97,0.66,14,11720,259,722,3072
The eLiVe,23,52.10%,0.98,0.65,9,6426,477,707,1510
Maniac,32,39.40%,0.97,0.66,11,10700,151,716,2739
starix,34,47.60%,0.98,0.65,12,7735,726,321,1897
nosraC,22,49.60%,0.96,0.67,12,6461,221,557,1441
SmithZz,33,41.40%,0.97,0.65,19,9307,5426,924,3816
kaper,26,44.20%,0.98,0.64,7,6585,161,707,1571
nafany,21,51.10%,0.96,0.66,14,11360,478,1410,2138
Marek,28,51.60%,0.97,0.65,9,5318,373,444,1256
SADDYX,21,47.60%,0.97,0.66,14,8042,457,822,1893
maeVe,32,40.50%,0.98,0.65,3,5400,630,542,1448
Kairi,34,37.70%,0.97,0.66,4,3208,1595,319,1471
Tommy,28,46.00%,0.95,0.68,7,4758,141,477,1269
bodito,24,46.60%,0.95,0.67,10,5544,561,296,1539
Walco,20,57.40%,0.95,0.66,9,6513,182,534,1439
stanislaw,28,47.50%,0.98,0.64,22,14991,755,2112,3954
SEMINTE,25,49.30%,0.96,0.66,11,8670,247,717,1960
expro,23,44.70%,0.97,0.67,5,5250,901,178,1344
HOLMES,30,44.60%,0.96,0.67,10,5691,68,865,1308
xms,25,59.00%,0.95,0.65,15,8215,196,956,2732
w1nt3r,24,49.50%,0.98,0.64,7,6980,245,398,1811
Uber,25,50.20%,0.96,0.67,8,4608,166,468,1330
Aleksib,25,39.10%,0.98,0.64,12,11946,660,1692,2714
glow,34,51.90%,0.98,0.64,5,4384,148,663,1142
Kvik,26,42.70%,0.95,0.67,14,8760,1308,795,2627
ProbLeM,23,48.90%,0.97,0.65,8,7243,207,955,1628
Kristou,20,43.70%,0.95,0.65,11,2685,2627,225,1097
MAJ3R,31,48.80%,0.97,0.65,18,11944,1315,1177,3110
JazzPimp,25,54.30%,0.96,0.68,5,5737,250,442,1318
LOGAN,24,55.20%,0.97,0.64,8,6677,562,641,2049
tiziaN,26,56.10%,0.97,0.64,34,21825,213,1830,5490
0i,26,55.80%,0.95,0.67,4,5977,58,735,1763
nbl,25,51.60%,0.95,0.66,6,7435,143,848,1805
smF,30,56.20%,0.97,0.64,13,10028,243,591,2544
YJ,26,41.60%,0.99,0.63,2,6196,125,645,1370
kinqie,30,57.10%,0.95,0.66,13,8323,76,628,1949
Snappi,32,45.50%,0.97,0.65,25,16110,2654,3495,4753
tahsiN,31,44.70%,0.94,0.67,14,7341,293,261,2206
maNkz,24,52.40%,0.96,0.64,14,8670,486,742,1926
ponczek,27,44.50%,0.97,0.64,6,6371,90,586,1517
PR1mE,21,54.80%,0.95,0.66,5,5684,290,402,1091
NEO,35,37.80%,0.96,0.65,44,22487,3414,1587,6094
misutaaa,19,54.20%,0.95,0.63,10,5677,55,595,1261
denis,27,44.30%,0.95,0.67,25,23331,2098,1541,5366
RZU,22,53.90%,0.94,0.68,8,6067,200,450,1444
beastik,24,54.80%,0.95,0.64,17,9122,26,1243,2026
alexRr,26,39.80%,0.93,0.66,14,3032,2165,531,1601
dezon,24,52.40%,0.97,0.63,6,6312,466,609,1683
dumz,26,48.40%,0.96,0.65,9,4881,876,494,1570
friberg,30,47.30%,0.95,0.65,33,25373,243,1622,5252
caike,27,42.60%,0.96,0.65,9,5526,671,665,1516
TaZ,36,51.40%,0.96,0.65,28,27950,335,1634,6537
steel,28,40.80%,0.97,0.64,21,17974,350,1752,3940
Console,26,39.50%,0.95,0.64,11,8413,103,1128,2041
devoduvek,27,49.60%,0.95,0.65,8,8435,138,594,1881
CONNOR93,28,51.70%,0.94,0.67,7,4844,587,461,1776
soju_j,24,41.20%,0.96,0.64,4,6687,101,713,1537
KrizzeN,22,54.90%,0.97,0.64,9,9341,79,963,2172
dERZKIY,26,53.90%,0.95,0.66,7,5542,53,167,1394
darko,24,44.90%,0.95,0.66,19,10592,338,831,2267
RAiLWAY,26,53.90%,0.93,0.68,9,6251,76,536,1427
Grus,24,63.70%,0.93,0.66,15,7147,188,557,1908
H4RR3,25,50.30%,0.94,0.66,16,8147,202,1100,2120
oxygeN,19,59.20%,0.95,0.63,15,6603,102,514,1597
AcilioN,25,43.90%,0.95,0.65,23,22436,815,2011,4482
JT,23,48.40%,0.95,0.64,12,13078,722,880,2680
flashie,26,41.90%,0.95,0.65,7,7310,292,787,1613
strux1,31,36.30%,0.96,0.65,5,4584,432,277,1148
arvid,25,44.70%,0.94,0.65,23,11850,99,1073,2458
ecfN,26,53.80%,0.94,0.66,8,5276,129,680,1243
Karsa,30,48.70%,0.96,0.63,7,5282,63,535,1403
Inzta,29,43.90%,0.94,0.65,16,9025,394,1075,2170
rafftu,22,51.90%,0.95,0.65,11,6504,50,648,1374
uNdo,27,54.30%,0.95,0.64,7,5372,40,396,1330
vSa,28,42.50%,0.95,0.63,13,4351,159,503,1279
Rock1nG,25,55.30%,0.94,0.66,12,11329,351,883,2555
Fifflaren,34,37.50%,0.99,0.6,3,4759,1355,187,1389
kzy,32,47.60%,0.95,0.64,11,10146,2237,856,2867
boX,27,43.60%,0.94,0.65,15,14632,1796,1663,3241
TOAO,25,48.00%,0.95,0.63,14,12425,1436,1310,3236
SileNt,27,36.10%,0.93,0.66,6,4464,3446,587,2114
tonyblack,29,48.60%,0.95,0.64,13,9781,487,758,2570
Twixie,20,48.10%,0.94,0.63,11,9445,157,970,2239
arch,26,49.00%,0.94,0.66,8,6995,486,865,1849
Shakezullah,24,42.40%,0.97,0.61,5,8780,997,1267,1992
EXUS,24,42.70%,0.93,0.65,9,8402,3254,649,2734
RIZZZ,29,52.00%,0.93,0.64,7,5134,33,432,1314
LOMME,28,42.50%,0.95,0.63,7,7417,124,751,1771
interz,21,50.00%,0.99,0.58,8,10018,304,436,2273
Ex6TenZ,32,41.50%,0.96,0.62,13,16115,1234,757,4177
ub1que,30,41.80%,0.94,0.66,3,5617,260,371,1906
BRACE,22,47.90%,0.93,0.64,8,5076,204,502,884
Noisia,26,43.70%,0.94,0.64,17,6773,254,833,1648
ngiN,29,45.30%,0.96,0.61,13,11239,920,1379,2727
forget,32,50.30%,0.91,0.67,5,4627,754,616,1556
Sidney,24,50.20%,0.95,0.62,8,6173,127,430,1257
repo,25,46.60%,0.93,0.65,9,5984,205,513,1794
neaLaN,21,55.80%,0.93,0.65,18,14007,237,1002,3207
DANZ,28,42.60%,0.92,0.66,3,4515,476,389,1279
tutehen,29,46.10%,0.95,0.63,4,5371,150,374,1349
emi,28,52.30%,0.94,0.64,14,13022,149,1395,3022
Duplicate,21,51.40%,0.93,0.63,17,10438,53,716,2212
Polly,31,41.20%,0.93,0.64,12,3342,2452,253,1456
hutji,26,48.40%,0.92,0.64,6,5499,120,641,1358
ztr,18,50.70%,0.92,0.64,5,5261,75,466,1192
crisby,30,54.40%,0.92,0.65,18,15161,730,904,3541
matty,26,40.60%,0.93,0.65,7,7125,88,487,1309
mynio,26,44.50%,0.92,0.65,12,9440,741,724,2226
kiR,22,61.50%,0.91,0.65,10,7751,117,565,1663
SkulL,24,42.50%,0.91,0.66,12,6777,858,915,1569
quix,29,47.20%,0.9,0.67,17,8472,2105,2715,2975
aVN,25,52.90%,0.93,0.63,7,7203,96,597,1545
S0tF1k,27,49.20%,0.92,0.63,21,14688,1260,1781,3195
TACO,27,50.10%,0.94,0.61,14,15200,1113,1613,4108
hitMouse,32,49.00%,0.93,0.63,8,5182,1103,686,1705
Xp3,35,39.70%,0.91,0.63,7,3410,2727,249,1839
pNshr,30,43.20%,0.92,0.63,5,7248,88,688,1635
arki,32,52.50%,0.92,0.62,7,10315,788,485,2711
MSL,27,39.90%,0.9,0.64,24,17704,4449,2114,4168
SANJI,24,62.20%,0.92,0.61,7,8544,338,1125,1997
sorrow,26,55.30%,0.91,0.64,8,5082,114,313,1057
Luz,28,48.20%,0.92,0.63,8,7702,376,722,1756
Zeus,34,43.50%,0.92,0.63,13,16873,517,1567,3915
akez,30,55.00%,0.9,0.63,7,6523,59,334,1395
nak,35,44.50%,0.92,0.61,6,6055,64,566,1322
arya,29,34.90%,0.89,0.64,6,3343,1799,394,1494
BTN,33,53.80%,0.9,0.64,13,13044,217,977,3446
ncl,27,49.20%,0.92,0.62,3,5629,298,920,1495
pietola,24,47.10%,0.91,0.61,6,4549,25,418,1151
svyat,27,51.90%,0.92,0.61,15,9024,142,720,1890
SENER1,25,52.70%,0.91,0.61,5,4552,49,324,1075
Dav,30,40.70%,0.9,0.62,10,4927,741,455,1311
karrigan,32,43.10%,0.9,0.62,25,20680,3866,2528,5557
xartE,30,37.10%,0.92,0.61,16,10795,2869,1079,3163
LEGIJA,31,49.80%,0.9,0.63,13,9438,1183,864,2519
roman,33,55.00%,0.91,0.62,3,4634,105,611,1331
Shara,29,51.80%,0.9,0.64,5,4675,19,425,1165
wayLander,28,51.80%,0.89,0.64,22,9695,193,757,2390
BONA,22,52.10%,0.89,0.63,5,4971,749,494,1588
sAw,30,47.90%,0.91,0.61,7,14223,302,1922,3603
coolio,22,53.90%,0.91,0.59,9,4447,28,446,993
kRYSTAL,29,36.70%,0.9,0.61,28,15027,5942,2198,5682
MiGHTYMAX,25,49.20%,0.9,0.59,10,12602,599,1530,3245
crush,26,52.50%,0.89,0.61,15,8072,361,914,2215
balblna,26,49.80%,0.89,0.61,12,5919,346,1296,1943
ben1337,24,46.80%,0.89,0.61,13,10449,654,1183,2483
sycrone,26,41.10%,0.9,0.6,7,5953,212,755,1731
nkl,28,42.90%,0.91,0.6,5,7602,182,164,1877
hooch,35,41.80%,0.89,0.61,8,9139,1118,1109,2748
Golden,28,53.50%,0.88,0.61,19,9688,277,1079,2827
lunAtic,29,38.80%,0.89,0.61,5,8246,2955,1095,2247
FNS,30,45.90%,0.89,0.61,8,10789,199,1075,2924
spiker,28,42.70%,0.88,0.62,5,4010,1131,335,1263
Psycho,25,52.20%,0.89,0.61,4,6217,48,469,1316
Adam9130,24,40.10%,0.87,0.63,9,5650,64,966,1125
JiNKZ,27,53.50%,0.88,0.6,10,6106,70,677,1643
MAiNLiNE,26,51.70%,0.87,0.62,10,4741,301,327,1450
pronax,31,45.80%,0.89,0.6,7,14083,234,1063,2976
Polen,26,53.30%,0.88,0.61,7,4929,103,476,1421
IceBerg,21,54.70%,0.85,0.63,8,4862,51,443,986
Lambert,30,37.10%,0.88,0.59,8,5496,2462,1615,2186
LeX,32,44.70%,0.85,0.62,7,5563,120,333,1275
ScrunK,27,46.50%,0.85,0.61,14,9958,878,1506,2487
torben,27,49.50%,0.87,0.59,9,6014,50,512,1511
seang@res,34,40.20%,0.87,0.59,6,6675,1179,892,1894
daps,29,40.20%,0.87,0.58,6,10614,378,2239,2761
flowsicK,31,47.40%,0.86,0.62,4,4449,18,490,1199
BERRY,32,38.00%,0.85,0.62,11,7656,1301,1561,2205
birdfromsky,28,41.60%,0.86,0.6,13,8808,696,1296,1916
advent,30,49.90%,0.88,0.56,6,11000,86,1988,2484
nawrot,23,47.10%,0.85,0.6,7,6126,1401,595,1537
HooXi,27,49.70%,0.85,0.58,8,8478,446,1184,1997
def,27,41.80%,0.85,0.59,7,6387,148,1005,1532
djL,28,47.30%,0.86,0.56,5,7025,391,1059,1673
Devilwalk,31,51.30%,0.85,0.58,4,4529,145,332,972
Twista,35,35.90%,0.84,0.59,0,4327,27,343,1061
gob b,35,48.50%,0.84,0.56,6,9673,215,1498,2688
Slemmy,31,49.60%,0.83,0.57,2,4437,220,592,1298
PASHANOJ,28,53.50%,0.8,0.58,6,6199,93,1340,1499
B1ad3,35,41.90%,0.8,0.58,7,10064,67,860,2256
netrick,27,48.20%,0.8,0.56,4,4770,120,586,1106
HUNDEN,31,48.70%,0.78,0.55,13,16737,220,1514,3589
RuFire,27,47.90%,0.74,0.55,1,4051,151,623,669
OCEAN,35,44.30%,0.74,0.52,4,3711,316,452,940
